authorId,name,paperCount,citationCount,hIndex
40411106,N. R. Olsen,16,698,8
40583250,Helen Macdonald,58,644,9
46317804,L. Hailey,7,264,4
47278367,H. M. Wilson,2,212,2
6156681,A. Lydiatt,4,254,4
3800324,A. Kristiansen,26,738,11
3960038,S. Frenda,25,1147,15
6426634,E. Knowles,60,3095,27
13240008,William Saletan,6,196,3
8661976,E. Loftus,494,37658,87
3064591,Z. Bažant,1110,56510,121
98367665,L. Cedolin,74,4046,21
13649079,J. Hutchinson,480,77365,134
143940015,R. Estruch,769,43416,105
143637499,E. Ros,665,38487,98
1397178763,J. Salas-Salvadó,741,38425,99
4731254,M. Covas,225,23926,76
2346429,D. Corella,690,37379,95
4651894,F. Arós,278,18515,66
1397803220,E. Gómez-Gracia,184,16372,60
1398074985,V. Ruíz-Gutiérrez,269,19472,67
90234167,M. Fiol,251,16847,62
145501214,J. Lapetra,277,18414,63
1397437901,R. Lamuela-Raventós,265,24174,84
66156251,L. Serra-Majem,571,33889,91
4268037,X. Pintó,446,17802,56
3860726,J. Basora,143,11034,41
144701917,M. Muñoz,107,8923,33
5485755,J. Sorlí,236,10357,43
2109798063,J. A. Martínez,156,9381,41
1389965027,M. Martínez-González,976,52358,120
3096471,Mark Dingemanse,208,3342,27
1839355,Francisco Torreira,59,1770,21
3247678,N. Enfield,285,6378,36
46934316,K. Tan,58,686,14
98068256,Augustin Boey,6,31,4
2240116,R. Thaler,216,92466,89
145824029,David Silver,129,104332,69
4337102,Julian Schrittwieser,22,25405,13
34838386,K. Simonyan,117,133088,56
2460849,Ioannis Antonoglou,23,54414,17
1885349,Aja Huang,6,22064,6
35099444,A. Guez,41,30347,21
2067208983,T. Hubert,14,11459,10
2067596385,Lucas baker,1,6863,1
40227832,Matthew Lai,8,11552,7
34848283,A. Bolton,3,7062,3
2275897,Yutian Chen,56,8765,20
2542999,T. Lillicrap,135,62423,60
2059412590,Fan Hui,1,6863,1
2175946,L. Sifre,30,30166,21
47568983,George van den Driessche,11,21162,9
48987704,D. Hassabis,126,80747,71
4422171,F. Novas,154,5441,41
143780593,L. Salgado,104,3570,35
144259707,M. Suárez,76,1947,26
4831372,F. Agnolin,181,2872,26
3920565,M. Ezcurra,139,4092,36
7751546,N. Chimento,28,227,8
34729289,R. D. L. Cruz,27,791,15
4011100,M. Isasi,14,309,10
2330696,Alexander O. Vargas,53,806,17
1401221217,David Rubilar-Rogers,37,554,13
2997351,D. Graur,189,17533,54
5513100,Yichen Zheng,17,673,8
48918278,N. Price,14,650,7
2736169,R. B. Azevedo,58,2924,25
4801713,R. Zufall,45,1300,16
2447226,E. Elhaik,101,8261,28
49002867,S. Yoshida,47,1812,14
49192216,K. Hiraga,73,3130,25
8238457,T. Takehana,9,1342,6
47410343,I. Taniguchi,176,4107,29
93527423,H. Yamaji,13,1330,7
10224857,Yasuhito Maeda,3,1241,2
4782719,Kiyotsuna Toyohara,28,1581,10
1776079,K. Miyamoto,205,4222,32
4114646,Y. Kimura,371,9125,50
47259592,K. Oda,237,5785,37
88691091,The Ligo Scientific Collaboration,142,25625,66
103064427,The Virgo Collaboration,51,10364,22
117956345,B. Wampold,298,23953,72
3856294,D. Scheele,107,3318,29
2075476716,Andrea Wille,3,345,3
2464320,K. Kendrick,375,16708,70
1398325076,B. Stoffel‐Wagner,251,8730,51
2168698766,B. Becker,263,5362,40
3188757,O. Güntürkün,505,18766,73
144795477,W. Maier,1331,92743,133
2432052,R. Hurlemann,240,9632,50
115038068,S. Durant,118,5129,38
145082484,N. Mitchell,15,341,6
3780605,R. Groom,44,1696,18
1962811,N. Pettorelli,273,15861,60
8005121,Audrey Ipavec,11,262,6
46400092,A. Jacobson,21,1332,13
3861316,R. Woodroffe,172,11226,58
47903772,M. Böhm,92,5837,32
145720233,L. Hunter,132,6015,41
24273945,M. Becker,55,1842,23
4027218,F. Broekhuis,48,1324,17
7439229,S. Bashir,9,532,6
48325528,Leah Andresen,13,286,7
5552406,O. Aschenborn,32,482,12
2516134,M. Beddiaf,4,360,4
5518548,F. Belbachir,10,443,6
1399543717,A. Belbachir-Bazi,7,437,5
8516863,A. Berbash,7,392,5
1404933783,Iracelma Brandao de Matos Machado,1,148,1
4175324,C. Breitenmoser,22,816,11
134375193,M. Chege,9,186,5
7710754,D. Cilliers,15,372,9
1401874977,H. Davies-Mostert,64,1474,20
143695133,A. Dickman,98,4593,38
1404933771,Fabiano Ezekiel,1,148,1
6961914,M. Farhadinia,76,1317,21
6099944,P. Funston,88,3955,36
5421877,P. Henschel,61,3133,24
47602976,J. Horgan,16,246,6
117193813,H. D. de Iongh,43,929,18
5541430,H. Jowkar,17,621,10
2071122348,R. Klein,18,320,8
144831572,P. Lindsey,96,6231,41
49574609,L. Marker,162,4656,34
4937571,K. Marnewick,37,1049,16
2049389408,Joerg Melzheimer,19,394,10
46269990,J. Merkle,34,561,14
1390148161,J. M’soka,19,695,12
6680077,M. Msuha,32,676,11
1403156397,Helen M. K. O’Neill,12,202,5
152354962,M. Parker,10,472,6
3834271,G. Purchase,16,1004,10
1404933702,Samaila Sahailou,1,148,1
87599747,Y. Saidu,12,488,7
8165330,A. Samna,6,371,5
1404933672,A. Schmidt-Küntzel,44,1414,13
1471464948,Eda Selebatso,4,173,3
6501070,E. Sogbohossou,28,722,10
39659495,Alaaeldin Soultan,9,236,5
47339576,E. Stone,67,2215,24
49561867,Esther van der Meer,14,277,6
4993719,Rudie J. van Vuuren,8,210,4
7551036,Mary Wykstra,13,176,4
1404933622,Kim D. Young-Overton,7,212,5
