paperId,referenceCount,citationCount,authorsCount,occupiedJournalPages,authors_sum_paperCount,authors_sum_citationCount,authors_sum_hIndex,altmetric_score,influentialCitationCount
e0e9a94c4a6ba219e768b4e59f72c18f0a22e23d,37,19149,19,0,1136,887179,592,1545,3040
b35af322333811bd16eb5b569466ad76909c0a20,34,5192,2,0,201,59678,81,21,300
8d108f98cd67a98b3f48dade99c2cd13028d28b9,0,9111,1,0,111,10471,14,0,752
9199114e08e606b2ebfad883860158030c9161d2,42,106,16,0,2401,182683,593,2161,7
63cbb6b4ad9432dff5b1dbae8b3935ca63b5b0ad,32,240,22,0,2362,158527,608,2310,4
7bd9a25227ca4378b86a78994817988863a54b60,42,6345,1,0,333,101177,89,54,779
07a152ad1c17b35396d8b372cbde16e89705c7ec,6,2363,3,0,387,78038,100,23,191
6db769b3cbb3d7237a45561c818b4c0cc1d9b4e3,65,373,3,0,313,32810,82,2246,30
4e0549b57b8a8af319e9baf0a7bac5f41cd9b32b,43,313,13,0,947,47268,255,1836,30
a5bca3e6a7fa2135e566f040926a9687cc3ae7f9,519,5993,1,0,543,84331,111,0,397
896172e1d3a5d8a06ce6ef0187f53f1cf3803755,97,2066,5,0,553,50171,148,24,152
7c72b917a38b09e6d3ab19d28a4344ba54edb6ae,0,3459,1,0,199,13588,44,0,257
285e3aee1607ce93f080185dbcfa4592d10919ab,13,176,5,0,1341,169722,322,1419,12
a335ff8a76e15c80b10c6d7698d94cf59bfd9520,48,406,4,0,278,11226,63,997,7
96138e65b6ab963ae1d7cbc3971fed715e90b96a,17,174,5,0,845,23409,185,1095,4
a436589ef6c03945d0cc4b2a1e18da585653d1f3,63,80,7,0,243,12472,92,715,4
20fde99aed4270f13e3d947e819c410695cc1b63,80,232,14,0,1520,46302,315,3647,9
a9ca9fe75c9cbe15754481a5baa6d85593c8fae0,0,927,1,0,95,10857,23,0,40
00167b90b8fbf57d22b661c32ee8fb39020af12f,31,6938,2,0,251,104958,107,77,491
dae0cf248c7f3482663baa55330de22662d39a80,4,525,1,0,173,6295,35,0,103
6b0f8225cc7f5bbebba123b3d7dfbb2548ec3db8,55,953,5,0,866,80633,241,3719,37
9dc534fff352b413de81dfddfba9f4d0990f079c,0,13099,3,0,1715,191801,307,0,1576
6732435ab6e0eb4e0d14662cf724f3be54807a35,119,4923,2,0,221,54877,81,134,494
82baedbe57a232a83bea6d88f16d66cf4acdca64,365,377,6,0,892,42752,233,892,42
28ea9f91b229dd77544aeb92bf5f4f8dbee9e953,114,196,20,0,1020,27363,204,1850,8
6aabdd609b09fbd1c9244a8db33155b3feaf604a,76,2270,3,0,1535,218536,343,45,121
f19a2323f85a56b0f4c27c79234df291895c42cf,30,746,7,0,889,200969,342,1212,46
7d2333730401777adad2f30afe6af807fc22e31c,55,117,2,0,172,3516,37,0,14
c7de4b55ca373f61e21874e4eff9923aec3e2f09,29,249,7,0,367,15250,86,1425,7
3e88d99a60d1ed795d8a07fe90587f2828132506,22,3791,11,0,3669,303755,598,22,29
af55a840fb0c6e4004c4acfff588c5a7862251bd,43,774,16,0,5605,411041,888,22,47
c1e25afc8eba2f505f38c68843ee23d97470dbaa,0,1282,2,0,641,87146,154,119,70
33a4ecf9716db540a20abf77c06d188960ac14bb,51,794,9,0,834,56804,227,4728,50
6bbdd8536cc5ae9d648be64cb1bb03828de3e54f,186,6809,18,0,4184,752399,1172,2826,242
0af516d428fe22df7428ab93fcbe0e850235b172,59,215,8,0,1133,39399,278,1316,10
b6d7e6a2763da443c3386edfe70bf46c07059da1,16,8837,1,0,403,27605,69,186,811
acb0d2387b1a8f731d7da7ac5f6732d543802491,51,1238,7,0,1304,248990,341,1918,51
f7b4282356fcde6592ff0a1750eb8dc34f0cf3ae,107,144,4,0,553,17441,109,2791,2
53fdc8a7ee4e0d4cefb53f5a0530647dfe18037b,33,66,18,0,2361,125215,587,1558,2
368de9e76b2650b8303edec53d6091dcdfdc748e,66,2983,10,0,1861,267066,521,1739,192
7fe16a270f403048f78fa89a64410e570ae5c16f,39,1394,4,0,848,67982,165,2407,91
3f2a156760add4b9724a9bbaf4dc68853f726f03,19,71,2,0,52,464,13,6097,7
b5b2a56539b2da468790b5d690efb7d345344e65,0,4248,2,0,855,108229,126,13,89
9cc8e36dadcd433f71d88d856e6f1c95d820243d,401,338,8,0,2094,289261,444,1318,15
67f5af9e020107e032b26d3ea293e5c48b84ced9,0,1803,1,0,48,7581,25,10,119
5aa4e1f465c46d7b1ae83de8aea2e66494c10f28,39,74,4,0,691,91782,216,1667,1
adb48caa2bf1a84bebe842cba7cfba40829d298e,33,163,2,0,117,2728,29,862,7
1c672f95087a0be8428e719a77e19de836eac621,21,66,3,0,274,20004,88,2854,0
250dbe40a5737ca96a3284f44375fd4694171e1c,38,688,18,0,846,53572,262,4802,19
b1bde690f0500785e0fe93ca6e01300ae649aa9d,15,1728,6,0,2168,101848,234,18,18
5509c1e7fb7bb5d06dde9cc56e882cf947c6587a,3,143,5,0,340,17075,116,2139,5
796aaef0da73624ae5439d42465c1d7098a3f430,0,829,1,0,313,20541,60,0,16
05b9e01b36be8f688cdbd7131b89920fa46ac048,0,6162,2,0,268,43597,118,0,603
9418c63edd017c0c9cba5db9e8eb76d60799e94e,27,3618,20,0,2547,172785,548,1924,301
9fa0cdc0ce8ae8fd2170c64e4555164fafe7709b,144,415,3,0,1547,75395,207,2670,12
a1483a0aa7571f4a0d7a2418c8263d9f8c3a9ee1,0,6,16,0,2453,80873,342,1982,0
8cec28449f2f21e79c46b0e51fe9f8669c5c500e,3,13052,3,0,921,71520,110,798,557
a008f13d1bf504d0ac9cf8c73210d72562d6ec61,0,0,2,0,166,6189,39,3317,0
d571963a597742e6aa80f43db9446517501b3e20,47,3609,10,0,2656,492573,792,244,168
b2bfa3033573d587eba72eec59d26b7d1227cebb,189,1593,4,0,1611,67858,201,2599,52
8ca84f9addac1dd271456ab6b50f097dd60f282a,53,494,13,0,2772,210472,630,3092,17
4f6ec1b440d2dd27a235fe1f50106a6539aae464,49,146,18,0,2146,156160,603,1152,3
